_id,srcValue,userSN,realTime,srcLatitude,srcLongitude,srcSpeed,srcRPM,srcAPS,srcTPS,srcRPS,srcMAF,srcFuelLevel,srcTorque,srcEngineLoad,srcFuelTrimB1S,srcFuelTrimB2S,srcIntakePress,srcEngineCoolantTemp,srcEngineOilTemp,srcFuelTrimB1L,srcFuelTrimB2L,srcAmbientAirTemp,srcAbsolutePress,srcHybridBatteryT,srcDPF,srcDPFTemp,srcIntakeAirTemp,srcEGT1,srcEGT2,srcUploadTime,srcBattery
31,19080206,0,20190802161303,37.5911811,127.4878398,0.0,857.0,14.509804,16.078432,0.0,4.28,38.431374,0.0,37.2549,-0.015625,0.0,37.0,86.0,0.0,-0.0078125,0.0,36.0,96.0,0.0,0.0,0.0,63.0,0.0,0.0,null,13.866
32,19080206,0,20190802161304,37.5911811,127.4878398,0.0,840.0,14.509804,16.078432,0.0,4.35,38.431374,0.0,37.64706,-0.015625,0.0,37.0,86.0,0.0,-0.0078125,0.0,36.0,96.0,0.0,0.0,0.0,63.0,0.0,0.0,null,13.866
33,19080206,0,20190802161305,37.5911811,127.4878398,0.0,838.0,14.509804,16.078432,0.0,4.21,38.431374,0.0,37.64706,-0.015625,0.0,38.0,86.0,0.0,-0.0078125,0.0,36.0,96.0,0.0,0.0,0.0,63.0,0.0,0.0,null,13.866
34,19080206,0,20190802161306,37.5911811,127.4878398,0.0,839.0,14.509804,16.078432,0.0,4.26,38.431374,0.0,37.64706,-0.03125,0.0,38.0,87.0,0.0,-0.0078125,0.0,36.0,96.0,0.0,0.0,0.0,63.0,0.0,0.0,null,13.866
35,19080206,0,20190802161307,37.5911811,127.4878398,0.0,825.0,14.509804,16.078432,0.0,4.36,38.431374,0.0,38.82353,-0.03125,0.0,38.0,87.0,0.0,-0.0078125,0.0,36.0,96.0,0.0,0.0,0.0,63.0,0.0,0.0,null,13.866
36,19080206,0,20190802161308,37.5911811,127.4878398,0.0,825.0,14.509804,16.470589,0.0,4.31,38.431374,0.0,38.82353,-0.03125,0.0,38.0,87.0,0.0,-0.0078125,0.0,36.0,96.0,0.0,0.0,0.0,63.0,0.0,0.0,null,13.866
37,19080206,0,20190802161309,37.5911811,127.4878398,0.0,825.0,14.509804,16.470589,0.0,4.31,38.431374,0.0,37.64706,-0.03125,0.0,38.0,87.0,0.0,-0.0078125,0.0,36.0,96.0,0.0,0.0,0.0,63.0,0.0,0.0,null,13.866
38,19080206,0,20190802161310,37.5911811,127.4878398,0.0,842.0,14.509804,16.470589,0.0,4.4,38.431374,0.0,39.215687,-0.03125,0.0,39.0,87.0,0.0,-0.0078125,0.0,36.0,96.0,0.0,0.0,0.0,63.0,0.0,0.0,null,13.866
39,19080206,0,20190802161311,37.5911811,127.4878398,0.0,842.0,14.509804,16.470589,0.0,4.4,38.431374,0.0,39.215687,0.0,0.0,39.0,87.0,0.0,-0.0078125,0.0,36.0,96.0,0.0,0.0,0.0,63.0,0.0,0.0,null,13.866
40,19080206,0,20190802161312,37.5911811,127.4878398,0.0,844.0,14.509804,16.470589,0.0,4.44,38.431374,0.0,38.82353,0.0,0.0,39.0,87.0,0.0,-0.0078125,0.0,36.0,96.0,0.0,0.0,0.0,63.0,0.0,0.0,null,13.866
41,19080206,0,20190802161313,37.5911811,127.4878398,0.0,844.0,14.509804,16.470589,0.0,4.6,38.431374,0.0,38.82353,0.0,0.0,39.0,87.0,0.0,-0.0078125,0.0,36.0,96.0,0.0,0.0,0.0,63.0,0.0,0.0,null,13.866
42,19080206,0,20190802161314,37.5911811,127.4878398,0.0,844.0,14.509804,16.470589,0.0,4.6,38.431374,0.0,38.82353,0.0,0.0,39.0,87.0,0.0,-0.0078125,0.0,36.0,96.0,0.0,0.0,0.0,63.0,0.0,0.0,null,13.866
43,19080206,0,20190802161315,37.5911811,127.4878398,0.0,844.0,14.509804,16.470589,0.0,4.6,38.431374,0.0,38.82353,0.0,0.0,39.0,87.0,0.0,-0.0078125,0.0,36.0,96.0,0.0,0.0,0.0,63.0,0.0,0.0,null,13.866
44,19080206,0,20190802161316,37.5911811,127.4878398,0.0,844.0,14.509804,16.470589,0.0,4.6,38.431374,0.0,38.82353,0.0,0.0,39.0,87.0,0.0,-0.0078125,0.0,36.0,96.0,0.0,0.0,0.0,63.0,0.0,0.0,null,13.866
45,19080206,0,20190802161317,37.5911811,127.4878398,0.0,844.0,14.509804,16.470589,0.0,4.6,38.431374,0.0,38.82353,0.0,0.0,39.0,87.0,0.0,-0.0078125,0.0,36.0,96.0,0.0,0.0,0.0,63.0,0.0,0.0,null,13.866
46,19080206,0,20190802161318,37.5911811,127.4878398,0.0,844.0,14.509804,16.470589,0.0,4.6,38.431374,0.0,38.82353,0.0,0.0,39.0,87.0,0.0,-0.0078125,0.0,36.0,96.0,0.0,0.0,0.0,63.0,0.0,0.0,null,13.866
47,19080206,0,20190802161319,37.5911811,127.4878398,0.0,844.0,14.509804,16.470589,0.0,4.6,38.431374,0.0,38.82353,0.0,0.0,39.0,87.0,0.0,-0.0078125,0.0,36.0,96.0,0.0,0.0,0.0,63.0,0.0,0.0,null,13.866
